"id","id_session","id_YM","id_GA","created","location","branch","direction","amount","price"
"54","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:38:09","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","999","По запросу"
"55","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:38:14","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","500","По запросу"
"56","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:38:18","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","400","По запросу"
"57","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:38:23","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","200","157200"
"58","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:38:29","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","300","По запросу"
"59","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:38:34","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","299","По запросу"
"60","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:38:37","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","201","По запросу"
"61","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:38:40","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","200","157200"
"62","4a3f678deb339eac5181b528256a09f3",,,"2020-12-23 17:38:50","Tyumen","Мобильные сотрудники","Выездной ремонт бытовой техники","10","9500"
"63","05685b16ff7314cc28006f2c9c11ef27",,,"2020-12-23 18:27:47","Tashkent","Мобильные сотрудники","Клининг","50","33500"
"64","78c041a4a57e44ad1c9fe8feb67ee211",,,"2020-12-23 19:28:21","St Petersburg","Телекоммуникации и ИТ","Контроль выездных монтажников","10","9500"
"65","952ec836cbdf15d238930615f75c20d2",,,"2020-12-23 21:00:20","St Petersburg","Выездное обслуживание оборудования","Технологическое оборудование","7","6800"
"66","952ec836cbdf15d238930615f75c20d2",,,"2020-12-23 21:11:03","St Petersburg","Выездное обслуживание оборудования","Технологическое оборудование","6","5900"
"67","961e0f4e58e7c9edc8f146a685d538db",,,"2020-12-24 04:18:01","Amsterdam","Управление недвижимостью, ЖКХ","Клининг","5","7000"
"68","8183f7f83252cc69a1631b11996c9b74",,,"2020-12-24 08:17:45","Yekaterinburg","Выездное обслуживание оборудования","Кондиционирование и вентиляция","4","5000"
"69","8183f7f83252cc69a1631b11996c9b74",,,"2020-12-24 08:17:52","Yekaterinburg","Выездное обслуживание оборудования","Кондиционирование и вентиляция","1","5000"
"70","8183f7f83252cc69a1631b11996c9b74",,,"2020-12-24 08:17:56","Yekaterinburg","Выездное обслуживание оборудования","Кондиционирование и вентиляция","10","9500"
"71","8183f7f83252cc69a1631b11996c9b74",,,"2020-12-24 08:18:00","Yekaterinburg","Выездное обслуживание оборудования","Кондиционирование и вентиляция","7","6800"
"72","8183f7f83252cc69a1631b11996c9b74",,,"2020-12-24 08:18:04","Yekaterinburg","Выездное обслуживание оборудования","Кондиционирование и вентиляция","6","5900"
"73","8183f7f83252cc69a1631b11996c9b74",,,"2020-12-24 08:18:07","Yekaterinburg","Выездное обслуживание оборудования","Кондиционирование и вентиляция","5","5000"
"74","8183f7f83252cc69a1631b11996c9b74",,,"2020-12-24 08:18:12","Yekaterinburg","Выездное обслуживание оборудования","Кондиционирование и вентиляция","7","6800"
"75","8183f7f83252cc69a1631b11996c9b74",,,"2020-12-24 08:18:21","Yekaterinburg","Выездное обслуживание оборудования","Кондиционирование и вентиляция","5","5000"
"76","eedbe3b10596959b162ed688adb01586",,,"2020-12-24 08:51:36","Minsk","Выездное обслуживание оборудования","Спецтехника","8","7700"
"77","b28fe45d5ac674959ffe446072084f6c",,,"2020-12-24 09:29:52","Hatava","Промышленность, производство, ТЭК","Другое","5",NULL
"78","eda83560868b5ebef1aa1c09a467e01b",,,"2020-12-24 09:38:30","Irkutsk","Выездное обслуживание оборудования","Оргтехника и ИТ-оборудование","7","6800"
"79","eedbe3b10596959b162ed688adb01586",,,"2020-12-24 09:48:34","Minsk","Выездное обслуживание оборудования","Спецтехника","8","7700"
"80","829be9efbe89868092bf4ad2bd6e9295",,,"2020-12-24 11:47:17","St Petersburg","Мобильные сотрудники","Выездной сервис IT","20","17500"
"81","829be9efbe89868092bf4ad2bd6e9295",,,"2020-12-24 11:47:32","St Petersburg","Мобильные сотрудники","Выездной сервис IT","5","5000"
"82","654916cfc89329122271939a604e19a6",,,"2020-12-24 12:33:05","St Petersburg","Здравоохранение и медицина","Обслуживание медицинского оборудования","100","193500"
"83","5893d80a077798ffd203d30dca416336",,,"2020-12-24 13:01:25","Pavlodar","Мобильные сотрудники","Водители","30","11000"
"84","5893d80a077798ffd203d30dca416336",,,"2020-12-24 13:01:36","Pavlodar","Мобильные сотрудники","Водители","20","7400"
"85","5893d80a077798ffd203d30dca416336",,,"2020-12-24 13:06:48","Pavlodar","Промышленность, производство, ТЭК","Сервис оборудования предприятий","20","40000"
"86","5893d80a077798ffd203d30dca416336",,,"2020-12-24 13:07:18","Pavlodar","Мобильные сотрудники","Экспедиторы","20","7400"
"88","af0c2ce6101731fd9b44046f99677001","160734218558947414","GA1.2.898178360.1607513465","2020-12-24 13:34:18","Moscow","Мобильные сотрудники","Монтажники","50",NULL
"89","af0c2ce6101731fd9b44046f99677001","160734218558947414","GA1.2.898178360.1607513465","2020-12-24 13:34:23","Moscow","Мобильные сотрудники","Монтажники","10",NULL
"90","af0c2ce6101731fd9b44046f99677001","160734218558947414","GA1.2.898178360.1607513465","2020-12-24 13:34:26","Moscow","Мобильные сотрудники","Монтажники","1",NULL
"91","8f2b41da2eaa4728de2a58961fa4b28f","1608812392678591992","GA1.2.710466435.1608812392","2020-12-24 15:20:58","Moscow","Выездное обслуживание оборудования","Обслуживание розничных сетей","10","9500"
"92","0b23e19cc92a1be6413794061b835692","1608813210562849312","GA1.2.1067518638.1608813213","2020-12-24 15:37:04","Voronezh","Управление самозанятыми, ИП и подрядчиками","Управление ИП и самозанятыми","1",NULL
"93","0b23e19cc92a1be6413794061b835692","1608813210562849312","GA1.2.1067518638.1608813213","2020-12-24 15:37:33","Voronezh","Мобильные сотрудники","Выездной сервис IT","1","5000"
"94","ff192463715f0279e7da68abcf7188ef","1608818770263758756","GA1.2.1966351661.1608818770","2020-12-24 17:10:29","Moscow","Выездное обслуживание оборудования","HoReCa","100","80200"
"95","ff192463715f0279e7da68abcf7188ef","1608818770263758756","GA1.2.1966351661.1608818770","2020-12-24 17:11:27","Moscow","Выездное обслуживание оборудования","HoReCa","120","95600"
"96","ff192463715f0279e7da68abcf7188ef","1608818770263758756","GA1.2.1966351661.1608818770","2020-12-24 17:11:34","Moscow","Выездное обслуживание оборудования","HoReCa","500","По запросу"
"97","ff192463715f0279e7da68abcf7188ef","1608818770263758756","GA1.2.1966351661.1608818770","2020-12-24 17:11:38","Moscow","Выездное обслуживание оборудования","HoReCa","200","157200"
"98","ff192463715f0279e7da68abcf7188ef","1608818770263758756","GA1.2.1966351661.1608818770","2020-12-24 17:11:42","Moscow","Выездное обслуживание оборудования","HoReCa","300","По запросу"
"99","ff192463715f0279e7da68abcf7188ef","1608818770263758756","GA1.2.1966351661.1608818770","2020-12-24 17:11:45","Moscow","Выездное обслуживание оборудования","HoReCa","250","По запросу"
"100","ff192463715f0279e7da68abcf7188ef","1608818770263758756","GA1.2.1966351661.1608818770","2020-12-24 17:11:49","Moscow","Выездное обслуживание оборудования","HoReCa","201","По запросу"
"101","ff192463715f0279e7da68abcf7188ef","1608818770263758756","GA1.2.1966351661.1608818770","2020-12-24 17:11:52","Moscow","Выездное обслуживание оборудования","HoReCa","200","157200"
"102","dd6dd82bc650d1e9c090dce57709da17","1608820239567297033","GA1.2.1247350956.1608820239","2020-12-24 17:36:03","Novocherkassk","Выездное обслуживание оборудования","Спецтехника","200","157200"
"103","d7f2cc78bec29904faa7e2cdc5fdf97b","1608820358765638924","GA1.2.48678756.1608820360","2020-12-24 17:38:24","Novocherkassk","Выездное обслуживание оборудования","Спецтехника","7","6800"
"104","20dc9cdb3f75344bb89686255e399af3","1608819427363011376","GA1.2.1966469267.1608819427","2020-12-24 18:11:41","Moscow","Выездное обслуживание оборудования","Торговое оборудование","15","13500"
"105","d2ce58059cc107ffc2e7898cb0ae5899","1608829258706768924","GA1.2.1515063185.1608829259","2020-12-24 20:01:57","Veliky Novgorod","Мобильные сотрудники","Выездной сервис IT","5","5000"
"106","d2ce58059cc107ffc2e7898cb0ae5899","1608829258706768924","GA1.2.1515063185.1608829259","2020-12-24 20:02:00","Veliky Novgorod","Мобильные сотрудники","Выездной сервис IT","1","5000"
"107","2961805c995b3250a6661cf339cc1259","1608831271123669666","GA1.2.1592566860.1608831271","2020-12-24 20:35:15","Astrakhan","Мобильные сотрудники","Торговые представители","1","3700"
"108","7420f05b098b180d319af97f60f7c541",,,"2020-12-24 22:20:22","Kherson","Телекоммуникации и ИТ","Другое","1",NULL
"109","340e36e25f4aa7941c43de1134a3df94","1608842622435347802","GA1.2.2124310737.1608842624","2020-12-24 23:44:30","Diveyevo","Безопасность и видеонаблюдение","Обслуживание систем безопасности и видеонаблюдения","5","5000"
"110","a6039f5928379dad7ef2dacd9cdbc7e3",,"GA1.2.458955475.1608872968","2020-12-25 08:10:56","Yekaterinburg","Выездное обслуживание оборудования","Оргтехника и ИТ-оборудование","10","9500"
"111","a6039f5928379dad7ef2dacd9cdbc7e3",,"GA1.2.458955475.1608872968","2020-12-25 08:11:13","Yekaterinburg","Выездное обслуживание оборудования","Оргтехника и ИТ-оборудование","20","17500"
"112","a6039f5928379dad7ef2dacd9cdbc7e3",,"GA1.2.458955475.1608872968","2020-12-25 08:11:28","Yekaterinburg","Выездное обслуживание оборудования","Оргтехника и ИТ-оборудование","10","9500"
"113","8f8e98a435b48bc0329b9b3be34e6deb","16064599571028051732","GA1.2.435790534.1606459957","2020-12-25 10:10:46","St Petersburg","Выездное обслуживание оборудования","Технологическое оборудование","10","9500"
"114","8f8e98a435b48bc0329b9b3be34e6deb","16064599571028051732","GA1.2.435790534.1606459957","2020-12-25 10:12:23","St Petersburg","Мобильные сотрудники","Клининг","10","7000"
"115","8f8e98a435b48bc0329b9b3be34e6deb","16064599571028051732","GA1.2.435790534.1606459957","2020-12-25 10:12:39","St Petersburg","Выездное обслуживание оборудования","Технологическое оборудование","1","5000"
"116","8f8e98a435b48bc0329b9b3be34e6deb","16064599571028051732","GA1.2.435790534.1606459957","2020-12-25 10:12:58","St Petersburg","Мобильные сотрудники","Монтажники","10",NULL
"117","8f8e98a435b48bc0329b9b3be34e6deb","16064599571028051732","GA1.2.435790534.1606459957","2020-12-25 10:13:54","St Petersburg","Мобильные сотрудники","Монтажники","0",NULL
"118","8f8e98a435b48bc0329b9b3be34e6deb","16064599571028051732","GA1.2.435790534.1606459957","2020-12-25 10:14:04","St Petersburg","Мобильные сотрудники","Монтажники","1",NULL
"119","8f8e98a435b48bc0329b9b3be34e6deb","16064599571028051732","GA1.2.435790534.1606459957","2020-12-25 10:15:27","St Petersburg","Мобильные сотрудники","Клининг","1","7000"
"120","8f8e98a435b48bc0329b9b3be34e6deb","16064599571028051732","GA1.2.435790534.1606459957","2020-12-25 10:16:12","St Petersburg","Мобильные сотрудники","Клининг","1","7000"
"121","8f8e98a435b48bc0329b9b3be34e6deb","16064599571028051732","GA1.2.435790534.1606459957","2020-12-25 10:16:54","St Petersburg","Мобильные сотрудники","Клининг","1","7000"
"122","bbd272da2ac9a1b4ea2347438945912b","160726424883835959","GA1.2.1382639269.1607264225","2020-12-25 12:16:50","St Petersburg","Выездное обслуживание оборудования","Технологическое оборудование","1","5000"
"123","bbd272da2ac9a1b4ea2347438945912b","160726424883835959","GA1.2.1382639269.1607264225","2020-12-25 12:17:00","St Petersburg","Выездное обслуживание оборудования","Торговое оборудование","1","5000"
"124","bbd272da2ac9a1b4ea2347438945912b","160726424883835959","GA1.2.1382639269.1607264225","2020-12-25 12:20:51","St Petersburg","Выездное обслуживание оборудования","Торговое оборудование","45","37250"
"125","bbd272da2ac9a1b4ea2347438945912b","160726424883835959","GA1.2.1382639269.1607264225","2020-12-25 12:31:42","St Petersburg","Выездное обслуживание оборудования","Торговое оборудование","4","5000"
"126","bbd272da2ac9a1b4ea2347438945912b","160726424883835959","GA1.2.1382639269.1607264225","2020-12-25 12:31:57","St Petersburg","Выездное обслуживание оборудования","Торговое оборудование","20","17500"
"127","218c5e4b7d54180e10a77480c2f92c15","1599028098424305498","GA1.2.1149369490.1608891108","2020-12-25 13:12:50","Baku","Телекоммуникации и ИТ","Другое","3",NULL
"128","ab244603275ebd42d3cfd6e9eb24908d","1570451500527684089","GA1.2.228151765.1570451500","2020-12-25 17:38:46","Tosno","Выездное обслуживание оборудования","Постаматы, вендинг, банкоматы","185","145650"
"129","14c19717bcb2213bb32acc5d8c58b99e","1608908125306734507","GA1.2.1083364486.1608908125","2020-12-25 17:58:04","Perm","Безопасность и видеонаблюдение","Обслуживание систем безопасности и видеонаблюдения","1","5000"
"130","9243cb47c1e0dc4ccbca41e07493e4c0","1608919908220710785","GA1.2.736098711.1608919908","2020-12-25 21:12:53","Shumerlya","Выездное обслуживание оборудования","Торговое оборудование","3","5000"
"131","4379d3822e8a0dcb45b487926788a3b2","1608919692928555044","GA1.2.798852959.1608919693","2020-12-25 21:14:37","Minsk","Телекоммуникации и ИТ","Другое","4",NULL
"132","4379d3822e8a0dcb45b487926788a3b2","1608919692928555044","GA1.2.798852959.1608919693","2020-12-25 21:14:45","Minsk","Телекоммуникации и ИТ","Обслуживание оборудования связи","4",NULL
"133","4379d3822e8a0dcb45b487926788a3b2","1608919692928555044","GA1.2.798852959.1608919693","2020-12-25 21:15:12","Minsk","Выездное обслуживание оборудования","Технологическое оборудование","2","5000"
"134","44682e1c79d84f5c1537f84e1056a7e6","160893965541690047","GA1.2.1149106183.1608939655","2020-12-26 02:41:01","Amsterdam","Промышленность, производство, ТЭК","Эксплуатация","1","20000"
"135","44682e1c79d84f5c1537f84e1056a7e6","160893965541690047","GA1.2.1149106183.1608939655","2020-12-26 02:41:12","Amsterdam","Промышленность, производство, ТЭК","Эксплуатация","10","20000"
"136","44682e1c79d84f5c1537f84e1056a7e6","160893965541690047","GA1.2.1149106183.1608939655","2020-12-26 02:41:19","Amsterdam","Промышленность, производство, ТЭК","Эксплуатация","11","22000"
"137","0c6c4a3b9343c9662ddca61ae47cee90","1608955400619315660",,"2020-12-26 07:06:34","Kaliningrad","Выездное обслуживание оборудования","Технологическое оборудование","10","9500"
"138","07631f6c235157636fdc4ea29d02db97","1608968016509764265","GA1.2.1365046193.1608968017","2020-12-26 10:34:09","Chisinau","Телекоммуникации и ИТ","Выездной ИТ-сервис","9","8600"
"139","7a9c8d571b1ec73084d78ffa2f009032","160896866167111576","GA1.2.621713734.1608968662","2020-12-26 10:45:37","Moscow","Выездное обслуживание оборудования","Технологическое оборудование","10","9500"
"140","9bdf1044c3d099afac9f40904bb8ed68","160898749189229107","GA1.2.1871452009.1608987494","2020-12-26 16:00:09","Horishni Plavni","Телекоммуникации и ИТ","Выездной ИТ-сервис","4","5000"
"141","1e5b20dad34bb8405bea3cadc8cbe377","1609009690782711630","GA1.2.1423202321.1609009690","2020-12-26 22:17:17","Moscow","Выездное обслуживание оборудования","Технологическое оборудование","10","9500"
"142","2156c620c4cfd569c14fb8006497ac7d","160900735227593422","GA1.2.1147293332.1609007353","2020-12-26 22:59:14","Forbes","Управление самозанятыми, ИП и подрядчиками","Управление ИП и самозанятыми","0",NULL
"143","2156c620c4cfd569c14fb8006497ac7d","160900735227593422","GA1.2.1147293332.1609007353","2020-12-26 23:08:33","Forbes","Управление самозанятыми, ИП и подрядчиками","Управление подрядчиками","7",NULL
"144","04f43eed8dd29ef4ceb62d44db872b5f","1609015598651821976","GA1.2.2140300478.1609015599","2020-12-26 23:47:41","Saratov","Промышленность, производство, ТЭК","Сервис оборудования предприятий","7","14000"
"145","aad46e1f14919b3f35b8a195b8deb4fa","1609016175852607781","GA1.2.764074619.1609016165","2020-12-26 23:57:35","Pestovo","Выездное обслуживание оборудования","Оргтехника и ИТ-оборудование","3","5000"
"146","9842c0e18039c9dca1cdf1b59a43a983","1609016300186982680","GA1.2.1269577431.1609016293","2020-12-26 23:59:28","Pestovo","Мобильные сотрудники","Выездной сервис IT","3","5000"
"147","9842c0e18039c9dca1cdf1b59a43a983","1609016300186982680","GA1.2.1269577431.1609016293","2020-12-26 23:59:31","Pestovo","Мобильные сотрудники","Выездной сервис IT","1","5000"
"148","9842c0e18039c9dca1cdf1b59a43a983","1609016300186982680","GA1.2.1269577431.1609016293","2020-12-26 23:59:38","Pestovo","Мобильные сотрудники","Выездной сервис IT","6","5900"
"149","9842c0e18039c9dca1cdf1b59a43a983","1609016300186982680","GA1.2.1269577431.1609016293","2020-12-26 23:59:46","Pestovo","Мобильные сотрудники","Выездной сервис IT","5","5000"
"150","9842c0e18039c9dca1cdf1b59a43a983","1609016300186982680","GA1.2.1269577431.1609016293","2020-12-26 23:59:56","Pestovo","Управление самозанятыми, ИП и подрядчиками","Агрегатор сервисных услуг B2B","5",NULL
"151","9842c0e18039c9dca1cdf1b59a43a983","1609016300186982680","GA1.2.1269577431.1609016293","2020-12-27 00:00:12","Pestovo","Безопасность и видеонаблюдение","Установка и сервис оборудования","1","5000"
"152","9842c0e18039c9dca1cdf1b59a43a983","1609016300186982680","GA1.2.1269577431.1609016293","2020-12-27 00:00:33","Pestovo","Телекоммуникации и ИТ","Выездной ИТ-сервис","1","5000"
"153","1a68eaca4c44c3a1ccaf5bf88d334370","1609016508369010037","GA1.2.178129866.1609016510","2020-12-27 00:03:14","Moscow","Выездное обслуживание оборудования","Оргтехника и ИТ-оборудование","5","5000"
"154","ff47e5187e21c5a0bca915f6e4e5ba4a","1609020316756748625","GA1.2.1851584658.1609020316","2020-12-27 01:05:56","Kamenishchi","Мобильные сотрудники","Курьеры","2","3700"
"155","619c4c3a69b68c8baef3ce749d8d9a2c",,"GA1.2.753776443.1609054336","2020-12-27 10:36:05","Izhevsk","Выездное обслуживание оборудования","Технологическое оборудование","3","5000"
"156","3953ca053074f2692a6c0aac09cd4829",,"GA1.2.835173012.1609062177","2020-12-27 12:46:49","Samara","Телекоммуникации и ИТ","Инвентаризация оборудования","30",NULL
"157","570f3bcc1476dbb86c94be6719be07eb","1609065832173417296","GA1.2.440443597.1609065832","2020-12-27 13:44:55","Moscow","Выездное обслуживание оборудования","Технологическое оборудование","1","5000"
"158","3da8efa973e0b94213a2f703c9874649","1609076549539002379","GA1.2.1298765870.1609076549","2020-12-27 16:43:08","Moscow","Управление самозанятыми, ИП и подрядчиками","Управление ИП и самозанятыми","2",NULL
"159","90cac9c6933555a4a14c79cfd3836dac","1609091772813883499","GA1.2.181378642.1609091772","2020-12-27 21:08:05","Moscow","Мобильные сотрудники","Клининг","5","7000"
"160","07117ba891052afde90c1e7204fbd95a","1609098295689196400","GA1.2.4426216.1609098295","2020-12-27 22:46:08","Moscow","Выездное обслуживание оборудования","Торговое оборудование","1","5000"
"161","0c6c4a3b9343c9662ddca61ae47cee90","1608955400619315660","GA1.2.733525305.1608955747","2020-12-28 00:54:44","Kaliningrad","Выездное обслуживание оборудования","Оргтехника и ИТ-оборудование","10","9500"
"162","d126eb1a25b4b8e89ca05f3250ce11a7","1609108225742612248","GA1.2.1678680129.1609108227","2020-12-28 01:31:12","Tyumen","Телекоммуникации и ИТ","Другое","2",NULL
"163","8c3303f4085ff869a7b7be3eab3ce629","160912538352929265","GA1.2.1041204721.1609125383","2020-12-28 06:23:03","Omsk","Выездное обслуживание оборудования","Обслуживание АЗС и нефтегазовой отрасли","100","80200"
"164","c93f8bd2c9bcf56f9fbb75e897c18428","1604383786245657305","GA1.2.619187567.1607330489","2020-12-28 08:26:56","Krasnoyarsk","Выездное обслуживание оборудования","Технологическое оборудование","1","5000"
"165","eae2ee8dc3d1a829864855d9eaee4c88","160726424883835959","GA1.2.1382639269.1607264225","2020-12-28 10:38:29","St Petersburg","Телекоммуникации и ИТ","Инвентаризация оборудования","5",NULL
"166","e70acf53510a6d7e46f75e16bf37a4eb","1544792334967355948","GA1.2.1713812683.1549898347","2020-12-28 10:38:38","Krasnodar","Выездное обслуживание оборудования","Технологическое оборудование","1000","По запросу"
"167","eae2ee8dc3d1a829864855d9eaee4c88","160726424883835959","GA1.2.1382639269.1607264225","2020-12-28 10:39:05","St Petersburg","Мобильные сотрудники","Монтажники","5",NULL
"168","e70acf53510a6d7e46f75e16bf37a4eb","1544792334967355948","GA1.2.1713812683.1549898347","2020-12-28 10:40:41","Krasnodar","Выездное обслуживание оборудования","Технологическое оборудование","3","5000"
"169","e70acf53510a6d7e46f75e16bf37a4eb","1544792334967355948","GA1.2.1713812683.1549898347","2020-12-28 11:07:37","Krasnodar","Выездное обслуживание оборудования","Технологическое оборудование","5","5000"
"170","c2ede6667bfcc2e08b287cc6fdadf688","1609147039413193679","GA1.2.638345599.1609147039","2020-12-28 12:29:13","St Petersburg","Телекоммуникации и ИТ","Другое","10",NULL
"171","bacaf61269228248c90d609e0eb9da83","1609060692341646387","GA1.2.1516374192.1609060692","2020-12-28 12:51:44","Barnaul","Телекоммуникации и ИТ","Другое","0",NULL
"172","bacaf61269228248c90d609e0eb9da83","1609060692341646387","GA1.2.1516374192.1609060692","2020-12-28 12:51:56","Barnaul","Телекоммуникации и ИТ","Выездной ИТ-сервис","5","5000"
"173","c93f8bd2c9bcf56f9fbb75e897c18428","1604383786245657305","GA1.2.619187567.1607330489","2020-12-28 13:00:25","Krasnoyarsk","Управление самозанятыми, ИП и подрядчиками","Управление подрядчиками","7",NULL
"174","937cb47c34fbb683be997d9c0d3f88e6","1609152456238787077","GA1.2.1623958404.1609152456","2020-12-28 13:48:24","Suez","Телекоммуникации и ИТ","Обслуживание оборудования связи","2","По запросу"
"175","410bec9e923c6310b767b9a702c13bb5","1609160928196701071",,"2020-12-28 16:10:49","St Petersburg","Мобильные сотрудники","Клининг","3","7000"
